sentence_id,sentence
0,"_
            Many Meetings

     Frodo woke and found himself lying in bed."
1,"At first he thought that he had slept late, after a long unpleasant dream that still hovered on the edge of memory."
2,Or perhaps he had been ill?
3,"But the ceiling looked strange; it was flat, and it had dark beams richly carved."
4,"He lay a little while longer looking at patches of sunlight on the wall, and listening to the sound of a waterfall."
5,"`Where am I, and what is the time?'"
6,he said aloud to the ceiling.
7,"'In the House of Elrond, and it is ten o'clock in the morning.'"
8,said a voice.
9,"`It is the morning of October the twenty-fourth, if you want to know.'"
10,`Gandalf!'
11,"cried Frodo, sitting up."
12,"There was the old wizard, sitting in a chair by the open window."
13,"`Yes,' he said, `I am here."
14,"And you are lucky to be here, too, after all the absurd things you have done since you left home.'"
15,Frodo lay down again.
16,"He felt too comfortable and peaceful to argue, and in any case he did not think he would get the better of an argument."
17,"He was fully awake now, and the memory of his journey was returning: the disastrous `short cut' through the Old Forest the `accident' at _The Prancing Pony_; and his madness in putting on the Ring in the dell under Weathertop."
18,"While he was thinking of all these things and trying in vain to bring his memory down to his arriving in Rivendell, there was a long silence, broken only by the soft puffs of Gandalf's pipe, as he blew white smoke-rings out of the window."
19,'Where's Sam?'
20,Frodo asked at length.
21,'And are the others all right?'
22,"'Yes, they are all safe and sound,' answered Gandalf."
23,"`Sam was here until I sent him off to get some rest, about half an hour ago.'"
24,`What happened at the Ford?'
25,said Frodo.
26,`It all seemed so dim somehow; and it still does.'
27,"'Yes, it would."
28,"You were beginning to fade,' answered Gandalf."
29,'The wound was overcoming you at last.
30,A few more hours and you would have been beyond our aid.
31,"But you have some strength in you, my dear hobbit!"
32,As you showed in the Barrow.
33,That was touch and go: perhaps the most dangerous moment of all.
34,I wish you could have held out at Weathertop.'
35,"'You seem to know a great deal already,' said Frodo."
36,`I have not spoken to the others about the Barrow.
37,At first it was too horrible; and afterwards there were other things to think about.
38,How do you know about it?'
39,"'You have talked long in your sleep, Frodo,' said Gandalf gently, 'and it has not been hard for me to read your mind and memory."
40,Do not worry!
41,"Though I said ""absurd"" just now, I did not mean it."
42,I think well of you-and of the others.
