sentence_id,sentence
0,"_
            Farewell to Lórien

     That night the Company was again summoned to the chamber of Celeborn, and there the Lord and Lady greeted them with fair words."
1,At length Celeborn spoke of their departure.
2,"`Now is the time,' he said, `when those who wish to continue the Quest must harden their hearts to leave this land."
3,"Those who no longer wish to go forward may remain here, for a while."
4,"But whether they stay or go, none can be sure of peace."
5,For we are come now to the edge of doom.
6,Here those who wish may await the oncoming of the hour till either the ways of the world lie open again.
7,or we summon them to the last need of Lórien.
8,"Then they may return to their own lands, or else go to the long home of those that fall in battle.'"
9,There was a silence.
10,"`They all resolved to go forward,' said Galadriel looking in their eyes."
11,"`As for me,' said Boromir, `my way home lies onward and not back.'"
12,"`That is true,' said Celeborn, `but is all this Company going with you to Minas Tirith? '"
13,"`We have not decided our course,' said Aragorn."
14,'Beyond Lothlórien I do not know what Gandalf intended to do.
15,Indeed I do not think that even he had any clear purpose.'
16,"`Maybe not,' said Celeborn, `yet when you leave this land, you can no longer forget the Great River."
17,"As some of you know well, it cannot be crossed by travellers with baggage between Lórien and Gondor, save by boat."
18,And are not the bridges of Osgiliath broken down and all the landings held now by the Enemy?
19,`On which side will you journey?
20,"The way to Minas Tirith lies upon this side, upon the west; but the straight road of the Quest lies east of the River, upon the darker shore."
21,Which shore will you now take? '
22,"`If my advice is heeded, it will be the western shore, and the way to Minas Tirith,' answered Boromir."
23,`But I am not the leader of the Company.'
24,"The others said nothing, and Aragorn looked doubtful and troubled."
25,"`I see that you do not yet know what to do,' said Celeborn."
26,`It is not my part to choose for you; but I will help you as I may.
27,"There are some among you who can handle boats: Legolas, whose folk know the swift Forest River; and Boromir of Gondor; and Aragorn the traveller.'"
28,`And one Hobbit! '
29,cried Merry.
30,`Not all of us look on boats as wild horses.
31,My people live by the banks of the Brandywine.'
32,"`That is well,' said Celeborn."
33,`Then I will furnish your Company with boats.
34,"They must be small and light, for if you go far by water, there are places where you will be forced to carry them."
35,"You will come to the rapids of Sarn Gebir, and maybe at last to the great falls of Rauros where the River thunders down from Nen Hithoel; and there are other perils."
36,Boats may make your journey less toilsome for a while.
37,"Yet they will not give you counsel: in the end you must leave them and the River, and turn west-or east.'"
38,Aragorn thanked Celeborn many times.
39,"The gift of boats comforted him much, not least because there would now be no need to decide his course for some days."
40,"The others, too, looked more hopeful."
41,"Whatever perils lay ahead, it seemed better to float down the broad tide of Anduin to meet them than to plod forward with bent backs."
42,"Only Sam was doubtful: he at any rate still thought boats as bad as wild horses, or worse, and not all the dangers that he had survived made him think better of them."
43,"`All shall be prepared for you and await you at the haven before noon tomorrow,' said Celeborn."
44,'I will send my people to you in the morning to help you make ready for the journey.
45,Now we will wish you all a fair night and untroubled sleep.'
46,"'Good night, my friends! '"
47,said Galadriel.
48,'Sleep in peace!
49,Do not trouble your hearts overmuch with thought of the road tonight.
50,"Maybe the paths that you each shall tread are already laid before your feet, though you do not see them."
51,Good night! '
52,The Company now took their leave and returned to their pavilion.
53,"Legolas went with them, for this was to be their last night in Lothlórien, and in spite of the words of Galadriel they wished to take counsel together."
54,"For a long time they debated what they should do, and how it would be best to attempt the fulfilling of their purpose with the Ring: but they came to no decision."
55,"It was plain that most of them desired to go first to Minas Tirith, and to escape at least for a while from the terror of the Enemy."
56,"They would have been willing to follow a leader over the River and into the shadow of Mordor; but Frodo spoke no word, and Aragorn was still divided in his mind."
57,"His own plan, while Gandalf remained with them, had been to go with Boromir, and with his sword help to deliver Gondor."
58,"For he believed that the message of the dreams was a summons, and that the hour had come at last when the heir of Elendil should come forth and strive with Sauron for the mastery."
59,"But in Moria the burden of Gandalf had been laid on him; and he knew that he could not now forsake the Ring, if Frodo refused in the end to go with Boromir."
60,"And yet what help could he or any of the Company give to Frodo, save to walk blindly with him into the darkness?"
61,"`I shall go to Minas Tirith, alone if need be, for it is my duty,' said Boromir; and after that he was silent for a while, sitting with his eyes fixed on Frodo, as if he was trying to read the Halfling's thoughts."
62,"At length he spoke again, softly, as if he was debating with himself."
63,"`If you wish only to destroy the Ring,' he said, `then there is little use in war and weapons; and the Men of Minas Tirith cannot help."
64,"But if you wish to destroy the armed might of the Dark Lord, then it is folly to go without force into his domain; and folly to throw away.'"
65,"He paused suddenly, as if he had become aware that he was speaking his thoughts aloud."
66,"`It would be folly to throw lives away, I mean,' he ended."
67,`It is a choice between defending a strong place and walking openly into the arms of death.
68,"At least, that is how I see it.'"
69,"Frodo caught something new and strange in Boromir's glance, and he looked hard at him."
70,Plainly Boromir's thought was different from his final words.
71,It would be folly to throw away: what?
72,The Ring of Power?
73,"He had said something like this at the Council, but then he had accepted the correction of Elrond."
74,"Frodo looked at Aragorn, but he seemed deep in his own thought and made no sign that he had heeded Boromir's words."
75,And so their debate ended.
76,"Merry and Pippin were already asleep, and Sam was nodding."
77,The night was growing old.
78,"In the morning, as they were beginning to pack their slender goods, Elves that could speak their tongue came to them and brought them many gifts of food and clothing for the journey."
79,"The food was mostly in the form of very thin cakes, made of a meal that was baked a light brown on the outside, and inside was the colour of cream."
80,Gimli took up one of the cakes and looked at it with a doubtful eye.
81,"`_Cram_,' he said under his breath, as he broke off a crisp corner and nibbled at it."
82,"His expression quickly changed, and he ate all the rest of the cake with relish."
83,"`No more, no more!'"
84,cried the Elves laughing.
85,`You have eaten enough already for a long day's march.'
