word1,word2,MI_score
ephel,duath,9.477308548534733
cair,andros,9.098796925281004
cirith,ungol,8.711773802171757
dol,amroth,8.345518675979191
praise,praise,8.210272212143444
says,says,7.716774483230122
precious,precious,7.336529892751935
farmer,cotton,7.307383547092421
sons,elrond,7.153162628397551
mount,doom,7.012640281531288
minas,tirith,6.991881721364489
prince,imrahil,6.339805024784798
houses,healing,6.209273461642573
hosts,mordor,5.944991589201967
either,side,5.506454894194249
paths,dead,5.40446774164924
cried,aloud,5.358664052036115
bag,end,5.3498586894487214
legolas,gimli,5.110217102044144
dont,want,5.095879441898708
made,ready,4.671166484926777
captains,west,4.567855438858393
lady,eowyn,4.565181304560065
death,death,4.5427062718042475
next,day,4.5418488007294435
drew,near,4.4638462887281705
ive,got,4.459386640537469
clear,voice,4.379438484221225
seven,days,4.282104138644062
steward,gondor,4.075405076926774
opened,eyes,4.066375447588625
im,going,4.051043793832633
sam,gamgee,4.017876929897435
mr,frodo,3.9624315792539697
white,horse,3.9424998873029846
gimli,legolas,3.925792530906717
king,mark,3.914150418131925
ill,ill,3.8921148652089794
heard,sound,3.8704715481908156
long,ago,3.8543249704736358
mr,ive,3.828843105507417
sea,white,3.79810997796781
mr,theres,3.796421627815043
north,south,3.7768688303936386
riders,rohan,3.7034001095702713
eowyn,death,3.6782212424607277
lady,rohan,3.660964843249875
ride,ride,3.484087081165793
cant,mr,3.4809198020871115
lord,command,3.475281183790452
dont,know,3.4455144659559114
let,us,3.4426624057278428
spoke,voice,3.4250665673535927
along,road,3.411219358076959
cried,voice,3.3138098162518546
theoden,eomer,3.260077832314062
gandalf,shadowfax,3.2321448195396254
fair,folk,3.2039791619730593
theoden,king,3.1615879689146986
sam,tried,3.1553804536473695
dont,think,3.146033281388119
eowyn,rohan,3.0589959172230277
wild,men,3.025647835584895
dont,dont,2.9999550219001723
white,tower,2.999083415669352
death,faramir,2.987059337907647
eowyn,eowyn,2.9512397368671444
stood,beside,2.949771393841157
black,silver,2.9474876020060368
shall,shall,2.9408411403069312
man,man,2.928358235016855
mordor,land,2.917510852779859
us,us,2.9084196626145538
heard,voice,2.9044188801141537
good,good,2.874424139816316
well,better,2.816243068727786
stood,silent,2.804458946880459
legolas,aragorn,2.7591426614972683
old,man,2.7574254130369518
upon,field,2.7498418430052762
merry,ruffians,2.7482996781968687
took,hand,2.7187265628135204
mr,mr,2.71841911581377
unless,come,2.7176200601074427
lord,denethor,2.71365353538998
dont,going,2.710448404705188
must,find,2.6951419585679606
mr,dont,2.658918104065105
gimli,aragorn,2.6579809848110543
far,away,2.646291667749514
sam,ive,2.6459081525104775
beregond,pippin,2.6441952242479
knew,would,2.6418195261196615
two,days,2.6339108765515995
must,go,2.604800946951876
dead,dead,2.591283740789436
could,hear,2.5829900740502136
dark,tower,2.578329343912218
hands,king,2.5723227658068595
faramir,faramir,2.5689159277609814
frodo,bit,2.5492936128906063
king,theoden,2.544916608466206
one,another,2.5432491536339388
dont,say,2.535674003601482
faramir,eowyn,2.523112238147858
well,mr,2.5131740010917376
frodo,ive,2.5127677368654915
looked,face,2.5075622977202237
wish,go,2.5033037570676786
could,seen,2.5031808053433124
walls,city,2.4604145672221307
said,butterbur,2.4543859594791044
black,gate,2.4223451874660906
road,ran,2.4198582763508316
gondor,rohan,2.4055536786191034
upon,silver,2.401918539584969
thank,said,2.401918539584969
eowyn,faramir,2.3975813560639967
people,city,2.3960115343964645
must,ride,2.377171877249282
must,take,2.3499504085142586
cant,go,2.348025531589766
away,south,2.3450230434282435
denethor,faramir,2.3409089069271065
aragorn,wish,2.3398050247847966
mr,sam,2.314269932677661
well,never,2.3098904027029974
may,may,2.3072093190817142
looked,saw,2.3024262755946303
king,eomer,2.284100027882232
day,rode,2.2813212505062257
must,must,2.270256673332769
could,see,2.2568697571006453
king,king,2.2555727226504327
think,must,2.2537894617440006
days,rode,2.2533068743366265
faramir,denethor,2.2254316895071735
answered,lord,2.2228381892243743
shall,ride,2.2161538759191632
sam,frodo,2.2046454415031604
house,gandalf,2.1975984861375206
day,night,2.1960739638877147
road,towards,2.1698800233424844
long,since,2.16572239786883
know,well,2.1652506976714303
cant,frodo,2.164844433445186
black,land,2.1644255932503764
left,behind,2.163216293061476
frodo,sam,2.162825265808536
long,years,2.162447265835967
black,shadow,2.1508790614124287
sam,help,2.1434078119812963
lord,city,2.1394904355213438
ride,king,2.1288218024043193
merry,pippin,2.12803030873976
could,longer,2.124883852879483
eyes,face,2.1215170017810863
cant,sam,2.1174126034483507
sam,cant,2.1174126034483507
far,beyond,2.1173080519955896
many,folk,2.1148532715000776
saw,face,2.101479248544541
gate,city,2.0923953177860444
never,see,2.0914461478932704
shall,take,2.0820172032676254
turned,away,2.0819886375944474
little,left,2.0812746795253005
aragorn,took,2.0792774745615805
come,wont,2.077516005193825
days,days,2.076429112252548
help,come,2.0655433635277483
among,men,2.0507388165477245
many,things,2.049000724205449
company,went,2.0468559968691995
aragorn,stone,2.0458913060670305
city,gondor,2.0451320658129735
alas,said,2.0393484602002605
lotho,said,2.0393484602002587
turned,back,2.03270773482323
shall,ever,2.0267765118106755
looked,eyes,2.0238684377744374
pippin,beregond,2.0161640016348574
upon,white,2.0155017182458916
great,river,2.014601797864575
us,let,2.0097029984517345
upon,side,2.0096011168062073
went,gimli,2.008888146670179
suddenly,looked,1.989147058596071
hand,hand,1.9849006761778814
day,day,1.9849006761778814
let,may,1.969513908336035
sam,water,1.9634291458750575
wind,away,1.957999920318997
yes,said,1.9462390558087783
gandalf,door,1.9406578382163993
wish,could,1.9322387749370886
got,frodo,1.9319096344770745
frodo,cant,1.9238363339413915
upon,walls,1.9081039269220081
like,small,1.9053835709163192
last,battle,1.905235114953964
lord,faramir,1.9051346801987386
white,like,1.8924251451046885
take,road,1.8878446555786343
road,take,1.8878446555786343
sure,said,1.887345366755211
whats,said,1.887345366755211
eyes,saw,1.8782458507687227
long,mountains,1.8729406486409825
gandalf,denethor,1.8673500750404042
would,would,1.86400807618595
