sentence_id,sentence
0,"_
            The Bridge of Khazad-dûm

     The Company of the Ring stood silent beside the tomb of Balin."
1,"Frodo thought of Bilbo and his long friendship with the dwarf, and of Balin's visit to the Shire long ago."
2,In that dusty chamber in the mountains it seemed a thousand years ago and on the other side of the world.
3,"At length they stirred and looked up, and began to search for anything that would give them tidings of Balin's fate, or show what had become of his folk."
4,"There was another smaller door on the other side of the chamber, under the shaft."
5,"By both the doors they could now see that many bones were lying, and among them were broken swords and axe-heads, and cloven shields and helms."
6,Some of the swords were crooked: orc-scimitars with blackened blades.
7,"There were many recesses cut in the rock of the walls, and in them were large iron-bound chests of wood."
8,All had been broken and plundered; but beside the shattered lid of one there lay the remains of a book.
9,"It had been slashed and stabbed and partly burned, and it was so stained with black and other dark marks like old blood that little of it could be read."
10,"Gandalf lifted it carefully, but the leaves crackled and broke as he laid it on the slab."
11,He pored over it for some time without speaking.
12,"Frodo and Gimli standing at his side could see, as he gingerly turned the leaves, that they were written by many different hands, in runes, both of Moria and of Dale, and here and there in Elvish script."
13,At last Gandalf looked up.
14,"'It seems to be a record of the fortunes of Balin's folk,' he said."
15,`I guess that it began with their coming to Dimrill Dale nigh on thirty years ago: the pages seem to have numbers referring to the years after their arrival.
16,"The top page is marked _one  three_, so at least two are missing from the beginning."
17,Listen to this!
18,'_We drove out orcs from the great gate and guard_  I think; the next word is blurred and burned; probably _room_  _we slew many in the bright_  I think  _sun in the dale.
19,Flói was killed by an arrow.
20,He slew the great_.
21,Then there is a blur followed by _Flói under grass near Mirror mere_.
22,The next line or two I cannot read.
23,Then comes _We have taken the twentyfirst hall of North end to dwell in.
24,There is_I cannot read what.
25,A _shaft_ is mentioned.
26,Then _Balin has set up his seat in the Chamber of Mazarbul_.'
27,"'The Chamber of Records,' said Gimli."
28,`I guess that is where we now stand.'
29,"`Well, I can read no more for a long way,' said Gandalf, 'except the word _gold_, and _Durin's Axe_ and something _helm_."
30,Then _Balin is now lord of Moria_.
31,That seems to end a chapter.
32,"After some stars another hand begins, and I can see _we found truesilver_, and later the word _wellforged_ and then something, I have it!"
33,"_mithril_; and the last two lines _Óin to seek for the upper armouries of Third Deep_, something _go westwards_, a blur,_ to Hollin gate_.'"
34,Gandalf paused and set a few leaves aside.
35,"'There are several pages of the same sort, rather hastily written and much damaged, he said; `but I can make little of them in this light."
36,"Now there must be a number of leaves missing, because they begin to be numbered _five_, the fifth year of the colony, I suppose."
37,Let me see!
38,"No, they are too cut and stained; I cannot read them."
39,We might do better in the sunlight.
40,Wait!
41,Here is something: a large bold hand using an Elvish script.'
42,"'That would be Ori's hand,' said Gimli, looking over the wizard's arm."
43,"`He could write well and speedily, and often used the Elvish characters.'"
44,"`I fear he had ill tidings to record in a fair hand,' said Gandalf."
45,"'The first clear word is _sorrow_, but the rest of the line is lost, unless it ends in _estre_."
46,"Yes, it must be _yestre_ followed by _day being the tenth of novembre Balin lord of Moria fell in Dimrill Dale."
47,He went alone to look in Mirror mere.
48,an orc shot him from behind a stone.
49,"we slew the orc, hut many more ... up from east up the Silverlode_."
50,"The remainder of the page is so blurred that I can hardly make anything out, but I think I can read_ we have barred the gates_, and then _can hold them long if_, and then perhaps _horrible_ and _suffer_."
51,Poor Balin!
52,He seems to have kept the title that he took for less than five years.
53,I wonder what happened afterwards; but there is no time to puzzle out the last few pages.
54,Here is the last page of all.'
55,He paused and sighed.
56,"`It is grim reading,' he said."
57,'I fear their end was cruel.
58,Listen!
59,_We cannot get out.
60,We cannot get out.
61,They have taken the Bridge and second hall.
62,Frár and Lóni and Náli fell there_.
63,Then there are four lines smeared so that I can only _read went 5 days ago_.
64,The last lines _run the pool is up to the wall at Westgate.
65,The Watcher in the Water took Óin.
66,We cannot get out.
67,"The end comes_, and then_ drums, drums in the deep_."
68,I wonder what that means.
69,The last thing written is in a trailing scrawl of elf-letters: _they are coming_.
70,There is nothing more.'
71,Gandalf paused and stood in silent thought.
72,A sudden dread and a horror of the chamber fell on the Company.
73,"`_We cannot get out_,' muttered Gimli."
74,"'It was well for us that the pool had sunk a little, and that the Watcher was sleeping down at the southern end.'"
75,Gandalf raised his head and looked round.
76,"`They seem to have made a last stand by both doors,' he said; 'but there were not many left by that time."
77,So ended the attempt to retake Moria!
78,It was valiant but foolish.
79,The time is not come yet.
80,"Now, I fear, we must say farewell to Balin son of Fundin."
81,Here he must lie in the halls of his fathers.
82,"We will take this book, the Book of Mazarbul, and look at it more closely later."
83,"You had better keep it, Gimli, and take it back to Dáin, if you get a chance."
84,"It will interest him, though it will grieve him deeply."
85,"Come, let us go!"
86,The morning is passing.'
87,'Which way shall we go? '
88,asked Boromir.
89,"'Back to the hall,' answered Gandalf."
90,'But our visit to this room has not been in vain.
91,I now know where we are.
92,"This must be, as Gimli says, the Chamber of Mazarbul; and the hall must be the twenty-first of the North-end."
93,"Therefore we should leave by the eastern arch of the hall, and bear right and south, and go downwards."
94,"The Twenty-first Hall should be on the Seventh Level, that is six above the level of the Gates."
95,Come now!
96,Back to the hall! '
