sentence_id,sentence,cleaned_sentence,tokens
0,"_
            The Mirror of Galadriel

     The sun was sinking behind the mountains, and the shadows were deepening in the woods, when they went on again.",the mirror of galadriel the sun was sinking behind the mountains and the shadows were deepening in the woods when they went on again,mirror galadriel sun sinking behind mountains shadows deepening woods went
1,Their paths now went into thickets where the dusk had already gathered.,their paths now went into thickets where the dusk had already gathered,paths went thickets dusk already gathered
2,"Night came beneath the trees as they walked, and the Elves uncovered their silver lamps.",night came beneath the trees as they walked and the elves uncovered their silver lamps,night came beneath trees walked elves uncovered silver lamps
3,Suddenly they came out into the open again and found themselves under a pale evening sky pricked by a few early stars.,suddenly they came out into the open again and found themselves under a pale evening sky pricked by a few early stars,suddenly came open found pale evening sky pricked early stars
4,"There was a wide treeless space before them, running in a great circle and bending away on either hand.",there was a wide treeless space before them running in a great circle and bending away on either hand,wide treeless space running great circle bending away either hand
5,"Beyond it was a deep fosse lost in soft shadow, but the grass upon its brink was green, as if it glowed still in memory of the sun that had gone.",beyond it was a deep fosse lost in soft shadow but the grass upon its brink was green as if it glowed still in memory of the sun that had gone,beyond deep fosse lost soft shadow grass upon brink green glowed still memory sun gone
6,Upon the further side there rose to a great height a green wall encircling a green hill thronged with mallorn-trees taller than any they had yet seen in all the land.,upon the further side there rose to a great height a green wall encircling a green hill thronged with mallorntrees taller than any they had yet seen in all the land,upon side rose great height green wall encircling green hill thronged mallorntrees taller yet seen land
7,"Their height could not be guessed, but they stood up in the twilight like living towers.",their height could not be guessed but they stood up in the twilight like living towers,height could guessed stood twilight like living towers
8,"In their, many-tiered branches and amid their ever-moving leaves countless lights were gleaming, green and gold and silver.",in their manytiered branches and amid their evermoving leaves countless lights were gleaming green and gold and silver,manytiered branches amid evermoving leaves countless lights gleaming green gold silver
9,Haldir turned towards the Company.,haldir turned towards the company,haldir turned towards company
10,`Welcome to Caras Galadhon! ',welcome to caras galadhon,welcome caras galadhon
11,he said.,he said,said
12,'Here is the city of the Galadhrim where dwell the Lord Celeborn and Galadriel the Lady of Lórien.,here is the city of the galadhrim where dwell the lord celeborn and galadriel the lady of lorien,city galadhrim dwell lord celeborn galadriel lady lorien
13,"But we cannot enter here, for the gates do not look northward.",but we cannot enter here for the gates do not look northward,enter gates look northward
14,"We must go round to the southern side, and the way is not short, for the city is great.'",we must go round to the southern side and the way is not short for the city is great,must go round southern side way short city great
15,There was a road paved with white stone running on the outer brink of the fosse.,there was a road paved with white stone running on the outer brink of the fosse,road paved white stone running outer brink fosse
16,"Along this they went westward, with the city ever climbing up like a green cloud upon their left; and as the night deepened more lights sprang forth, until all the hill seemed afire with stars.",along this they went westward with the city ever climbing up like a green cloud upon their left and as the night deepened more lights sprang forth until all the hill seemed afire with stars,along went westward city ever climbing like green cloud upon left night deepened lights sprang forth hill seemed afire stars
17,"They came at last to a white bridge, and crossing found the great gates of the city: they faced south-west, set between the ends of the encircling wall that here overlapped, and they were tall and strong, and hung with many lamps.",they came at last to a white bridge and crossing found the great gates of the city they faced southwest set between the ends of the encircling wall that here overlapped and they were tall and strong and hung with many lamps,came last white bridge crossing found great gates city faced southwest set ends encircling wall overlapped tall strong hung many lamps
18,"Haldir knocked and spoke, and the gates opened soundlessly; but of guards Frodo could see no sign.",haldir knocked and spoke and the gates opened soundlessly but of guards frodo could see no sign,haldir knocked spoke gates opened soundlessly guards frodo could see sign
19,"The travellers passed within, and the gates shut behind them.",the travellers passed within and the gates shut behind them,travellers passed within gates shut behind
20,"They were in a deep lane between the ends of the wall, and passing quickly through it they entered the City of the Trees.",they were in a deep lane between the ends of the wall and passing quickly through it they entered the city of the trees,deep lane ends wall passing quickly entered city trees
21,"No folk could they see, nor hear any feet upon the paths; but there were many voices, about them, and in the air above.",no folk could they see nor hear any feet upon the paths but there were many voices about them and in the air above,folk could see hear feet upon paths many voices air
22,Far away up on the hill they could hear the sound of singing falling from on high like soft rain upon leaves.,far away up on the hill they could hear the sound of singing falling from on high like soft rain upon leaves,far away hill could hear sound singing falling high like soft rain upon leaves
23,"They went along many paths and climbed many stairs, until they came to the high places and saw before them amid a wide lawn a fountain shimmering.",they went along many paths and climbed many stairs until they came to the high places and saw before them amid a wide lawn a fountain shimmering,went along many paths climbed many stairs came high places saw amid wide lawn fountain shimmering
24,"It was lit by silver lamps that swung from the boughs of trees, and it fell into a basin of silver, from which a white stream spilled.",it was lit by silver lamps that swung from the boughs of trees and it fell into a basin of silver from which a white stream spilled,lit silver lamps swung boughs trees fell basin silver white stream spilled
25,"Upon the south side of the lawn there stood the mightiest of all the trees; its great smooth bole gleamed like grey silk, and up it towered, until its first branches, far above, opened their huge limbs under shadowy clouds of leaves.",upon the south side of the lawn there stood the mightiest of all the trees its great smooth bole gleamed like grey silk and up it towered until its first branches far above opened their huge limbs under shadowy clouds of leaves,upon south side lawn stood mightiest trees great smooth bole gleamed like grey silk towered first branches far opened huge limbs shadowy clouds leaves
26,"Beside it a broad white ladder stood, and at its foot three Elves were seated.",beside it a broad white ladder stood and at its foot three elves were seated,beside broad white ladder stood foot three elves seated
27,"They sprang up as the travellers approached, and Frodo saw that they were tall and clad in grey mail, and from their shoulders hung long white cloaks.",they sprang up as the travellers approached and frodo saw that they were tall and clad in grey mail and from their shoulders hung long white cloaks,sprang travellers approached frodo saw tall clad grey mail shoulders hung long white cloaks
28,"'Here dwell Celeborn and Galadriel,' said Haldir.",here dwell celeborn and galadriel said haldir,dwell celeborn galadriel said haldir
29,`It is their wish that you should ascend and speak with them.',it is their wish that you should ascend and speak with them,wish ascend speak
30,"One of the Elf-wardens then blew a clear note on a small horn, and it was answered three times from far above.",one of the elfwardens then blew a clear note on a small horn and it was answered three times from far above,one elfwardens blew clear note small horn answered three times far
31,"`I will go first,' said Haldir.",i will go first said haldir,go first said haldir
32,'Let Frodo come next and with him Legolas.,let frodo come next and with him legolas,let frodo come next legolas
33,The others may follow as they wish.,the others may follow as they wish,others may follow wish
34,"It is a long climb for those that are not accustomed to such stairs, but you may rest upon the way.'",it is a long climb for those that are not accustomed to such stairs but you may rest upon the way,long climb accustomed stairs may rest upon way
35,"As he climbed slowly up Frodo passed many flets: some on one side, some on another, and some set about the bole of the tree, so that the ladder passed through them.",as he climbed slowly up frodo passed many flets some on one side some on another and some set about the bole of the tree so that the ladder passed through them,climbed slowly frodo passed many flets one side another set bole tree ladder passed
36,"At a great height above the ground he came to a wide _talan_, like the deck of a great ship.",at a great height above the ground he came to a wide talan like the deck of a great ship,great height ground came wide talan like deck great ship
37,"On it was built a house, so large that almost it would have served for a hall of Men upon the earth.",on it was built a house so large that almost it would have served for a hall of men upon the earth,built house large almost would served hall men upon earth
38,"He entered behind Haldir, and found that he was in a chamber of oval shape, in the midst of which grew the trunk of the great mallorn, now tapering towards its crown, and yet making still a pillar of wide girth.",he entered behind haldir and found that he was in a chamber of oval shape in the midst of which grew the trunk of the great mallorn now tapering towards its crown and yet making still a pillar of wide girth,entered behind haldir found chamber oval shape midst grew trunk great mallorn tapering towards crown yet making still pillar wide girth
39,The chamber was filled with a soft light; its walls were green and silver and its roof of gold.,the chamber was filled with a soft light its walls were green and silver and its roof of gold,chamber filled soft light walls green silver roof gold
40,Many Elves were seated there.,many elves were seated there,many elves seated
41,"On two chairs beneath the bole of the tree and canopied by a living bough there sat, side by side, Celeborn and Galadriel.",on two chairs beneath the bole of the tree and canopied by a living bough there sat side by side celeborn and galadriel,two chairs beneath bole tree canopied living bough sat side side celeborn galadriel
42,"They stood up to greet their guests, after the manner of Elves, even those who were accounted mighty kings.",they stood up to greet their guests after the manner of elves even those who were accounted mighty kings,stood greet guests manner elves even accounted mighty kings
43,"Very tall they were, and the Lady no less tall than the Lord; and they were grave and beautiful.",very tall they were and the lady no less tall than the lord and they were grave and beautiful,tall lady less tall lord grave beautiful
